geo,life_expectancy_years,time
alb,68.6,1974
alb,69.1,1975
alb,69.5,1976
alb,70,1977
alb,70.4,1978
alb,70.7,1979
alb,70.9,1980
alb,71,1981
alb,71,1982
alb,71,1983
alb,71.5,1984
alb,72.2,1985
alb,72.7,1986
alb,73,1987
alb,73.2,1988
alb,73.4,1989
alb,73.5,1990
alb,73.4,1991
alb,73.4,1992
alb,73.4,1993
alb,73.6,1994
alb,73.8,1995
alb,73.9,1996
alb,73.9,1997
alb,73.8,1998
alb,74,1999
alb,74.2,2000
alb,74.4,2001
alb,74.5,2002
alb,74.4,2003
alb,74.4,2004
alb,74.4,2005
alb,74.5,2006
alb,74.7,2007
alb,74.9,2008
alb,75,2009
alb,75.2,2010
alb,75.5,2011
alb,75.7,2012
alb,75.8,2013
alb,75.9,2014
alb,76,2015
dza,28.82,1800
dza,28.82,1801
dza,28.82,1802
dza,28.82,1803
dza,28.82,1804
dza,28.82,1805
dza,28.82,1806
dza,28.82,1807
dza,28.82,1808
dza,28.82,1809
dza,28.82,1810
dza,28.82,1811
dza,28.82,1812
dza,28.82,1813
dza,28.82,1814
dza,28.82,1815
dza,28.82,1816
dza,28.82,1817
dza,28.82,1818
dza,28.82,1819
dza,28.82,1820
dza,28.82,1821
dza,28.82,1822
dza,28.82,1823
dza,28.82,1824
dza,28.82,1825
dza,28.82,1826
dza,28.82,1827
dza,28.82,1828
dza,28.82,1829
dza,28.82,1830
dza,28.82,1831
dza,28.82,1832
dza,28.82,1833
dza,28.82,1834
dza,28.82,1835
dza,28.82,1836
dza,28.82,1837
dza,28.82,1838
dza,28.82,1839
dza,28.82,1840
dza,28.82,1841
dza,28.82,1842
dza,28.82,1843
dza,28.82,1844
dza,28.82,1845
dza,28.82,1846
dza,28.82,1847
dza,28.82,1848
dza,20,1849
dza,15,1850
dza,22,1851
dza,28.82,1852
dza,28.82,1853
dza,28.82,1854
dza,28.82,1855
dza,28.82,1856
dza,28.82,1857
dza,28.82,1858
dza,28.82,1859
dza,28.82,1860
dza,28.82,1861
dza,28.82,1862
dza,28.82,1863
dza,28.82,1864
dza,28.82,1865
dza,28.82,1866
dza,21,1867
dza,11,1868
dza,15,1869
dza,22,1870
dza,28.82,1871
dza,28.82,1872
dza,28.82,1873
dza,28.82,1874
dza,28.82,1875
dza,28.82,1876
dza,28.82,1877
dza,28.82,1878
dza,28.82,1879
dza,28.82,1880
dza,28.82,1881
dza,28.82,1882
dza,28.82,1883
dza,28.82,1884
dza,28.82,1885
dza,28.82,1886
dza,28.82,1887
dza,28.82,1888
dza,28.82,1889
dza,28.82,1890
dza,28.82,1891
dza,28.82,1892
dza,28.82,1893
dza,28.82,1894
dza,28.82,1895
dza,28.82,1896
dza,28.82,1897
dza,28.82,1898
dza,28.82,1899
dza,28.86,1900
dza,28.9,1901
dza,28.94,1902
dza,29.86,1903
dza,24.12,1904
dza,26.7,1905
dza,28.02,1906
dza,27.93,1907
dza,27.84,1908
dza,29.26,1909
dza,30.79,1910
dza,30.51,1911
dza,31.79,1912
dza,29.66,1913
dza,29.16,1914
dza,28.66,1915
dza,28.29,1916
dza,28.29,1917
dza,22.06,1918
dza,28.29,1919
dza,27.5,1920
dza,27.62,1921
dza,27.47,1922
dza,30,1923
dza,31.47,1924
dza,32.26,1925
dza,31.72,1926
dza,27.36,1927
dza,30.79,1928
dza,31.08,1929
dza,32.38,1930
dza,30.55,1931
dza,31.89,1932
dza,33.14,1933
dza,32.68,1934
dza,34.47,1935
dza,35.69,1936
dza,34.04,1937
dza,33.54,1938
dza,35.73,1939
dza,36.21,1940
dza,34.71,1941
dza,34.2,1942
dza,30.05,1943
dza,35.09,1944
dza,33.12,1945
dza,35.24,1946
dza,38.37,1947
dza,41.29,1948
dza,43.56,1949
dza,45.83,1950
dza,46.15,1951
dza,46.67,1952
dza,47.2,1953
dza,47.73,1954
dza,48.28,1955
dza,48.83,1956
dza,49.4,1957
dza,49.97,1958
dza,50.54,1959
dza,51.12,1960
dza,51.71,1961
dza,52.29,1962
dza,52.87,1963
dza,53.44,1964
dza,54,1965
dza,54.54,1966
dza,55.06,1967
dza,55.58,1968
dza,56.09,1969
dza,56.6,1970
dza,56.9,1971
dza,57.3,1972
dza,57.6,1973
dza,58,1974
dza,58.3,1975
dza,58.7,1976
dza,59.2,1977
dza,59.7,1978
dza,60.4,1979
dza,60.8,1980
dza,62.1,1981
dza,63.4,1982
dza,64.9,1983
dza,66.4,1984
dza,67.7,1985
dza,68.6,1986
dza,69.2,1987
dza,69.7,1988
dza,70.2,1989
dza,70.5,1990
dza,70.8,1991
dza,71.1,1992
dza,71.3,1993
dza,71.5,1994
dza,71.7,1995
dza,72.1,1996
dza,72.4,1997
dza,72.9,1998
dza,73,1999
dza,73.2,2000
dza,73.4,2001
dza,73.6,2002
dza,73.7,2003
dza,74.2,2004
dza,74.5,2005
dza,74.8,2006
dza,75,2007
dza,75.3,2008
dza,75.6,2009
dza,75.9,2010
dza,76.1,2011
dza,76.2,2012
dza,76.3,2013
dza,76.4,2014
dza,76.5,2015
and,77.5,1970
and,77.8,1971
and,78,1972
and,78.2,1973
and,78.5,1974
and,78.7,1975
and,78.9,1976
and,79.1,1977
and,79.2,1978
and,79.3,1979
and,79.4,1980
and,79.4,1981
and,79.5,1982
and,79.7,1983
and,79.8,1984
and,80,1985
and,80.1,1986
and,80.2,1987
and,80.4,1988
and,80.5,1989
and,80.7,1990
and,80.8,1991
and,81,1992
and,81.2,1993
and,81.4,1994
and,81.6,1995
and,81.8,1996
and,82.1,1997
and,82.3,1998
and,82.5,1999
and,82.7,2000
and,82.9,2001
and,83,2002
and,83.1,2003
and,83,2004
and,83.1,2005
and,83.2,2006
and,83.4,2007
and,83.5,2008
and,83.6,2009
and,83.7,2010
and,83.8,2011
and,83.8,2012
and,83.9,2013
and,84,2014
and,84.1,2015
ago,26.98,1800
ago,26.98,1801
ago,26.98,1802
ago,26.98,1803
ago,26.98,1804
ago,26.98,1805
ago,26.98,1806
ago,26.98,1807
ago,26.98,1808
ago,26.98,1809
ago,26.98,1810
ago,26.98,1811
ago,26.98,1812
ago,26.98,1813
ago,26.98,1814
ago,26.98,1815
ago,26.98,1816
ago,26.98,1817
ago,26.98,1818
ago,26.98,1819
ago,26.98,1820
ago,26.98,1821
ago,26.98,1822
ago,26.98,1823
ago,26.98,1824
ago,26.98,1825
ago,26.98,1826
ago,26.98,1827
ago,26.98,1828
ago,26.98,1829
ago,26.98,1830
ago,26.98,1831
ago,26.98,1832
ago,26.98,1833
ago,26.98,1834
ago,26.98,1835
ago,26.98,1836
ago,26.98,1837
ago,26.98,1838
ago,26.98,1839
ago,26.98,1840
ago,26.98,1841
ago,26.98,1842
ago,26.98,1843
ago,26.98,1844
ago,26.98,1845
ago,26.98,1846
ago,26.98,1847
ago,26.98,1848
ago,26.98,1849
ago,26.98,1850
ago,26.98,1851
ago,26.98,1852
ago,26.98,1853
ago,26.98,1854
ago,26.98,1855
ago,26.98,1856
ago,26.98,1857
ago,26.98,1858
ago,26.98,1859
ago,26.98,1860
ago,26.98,1861
ago,26.98,1862
ago,26.98,1863
ago,26.98,1864
ago,26.98,1865
ago,26.98,1866
ago,26.98,1867
ago,26.98,1868
ago,26.98,1869
ago,26.98,1870
ago,26.98,1871
ago,26.98,1872
ago,26.98,1873
ago,26.98,1874
ago,26.98,1875
ago,26.98,1876
ago,26.98,1877
ago,26.98,1878
ago,26.98,1879
ago,26.98,1880
ago,26.98,1881
ago,26.98,1882
ago,26.98,1883
ago,26.98,1884
ago,26.98,1885
ago,26.98,1886
ago,26.98,1887
ago,26.98,1888
ago,26.98,1889
ago,26.98,1890
ago,26.98,1891
ago,26.98,1892
ago,26.98,1893
ago,26.98,1894
ago,26.98,1895
ago,26.98,1896
ago,26.98,1897
ago,26.98,1898
ago,26.98,1899
ago,26.98,1900
ago,26.98,1901
ago,26.98,1902
ago,26.98,1903
ago,26.98,1904
ago,26.98,1905
ago,26.98,1906
ago,26.98,1907
ago,26.98,1908
ago,26.98,1909
ago,26.98,1910
ago,26.98,1911
ago,26.98,1912
ago,26.98,1913
ago,26.98,1914
ago,26.98,1915
ago,26.98,1916
ago,26.98,1917
ago,10.43,1918
ago,26.98,1919
ago,26.98,1920
ago,27.19,1921
ago,27.41,1922
ago,27.62,1923
ago,27.83,1924
ago,28.05,1925
ago,28.26,1926
ago,28.47,1927
ago,28.69,1928
ago,28.9,1929
ago,29.11,1930
ago,29.33,1931
ago,29.54,1932
ago,29.75,1933
ago,29.97,1934
ago,30.18,1935
ago,30.39,1936
ago,30.61,1937
ago,30.82,1938
ago,31.03,1939
ago,31.25,1940
ago,31.68,1941
ago,32.12,1942
ago,32.56,1943
ago,32.99,1944
ago,33.43,1945
ago,33.86,1946
ago,34.3,1947
ago,34.74,1948
ago,35.17,1949
ago,35.61,1950
ago,36.02,1951
ago,36.63,1952
ago,37.24,1953
ago,37.85,1954
ago,38.46,1955
ago,39.08,1956
ago,39.69,1957
ago,40.3,1958
ago,40.92,1959
ago,41.53,1960
ago,42.15,1961
ago,42.76,1962
ago,43.38,1963
ago,43.99,1964
ago,44.61,1965
ago,45.22,1966
ago,45.84,1967
ago,46.46,1968
ago,47.08,1969
ago,47.7,1970
ago,48.1,1971
ago,48.4,1972
ago,48.8,1973
ago,49.2,1974
ago,49.4,1975
ago,49.7,1976
ago,49.9,1977
ago,50.1,1978
ago,50.3,1979
ago,50.4,1980
ago,50.4,1981
ago,50.3,1982
ago,50.2,1983
ago,50,1984
ago,50,1985
ago,49.9,1986
ago,49.9,1987
ago,49.9,1988
ago,50.6,1989
ago,50.3,1990
ago,50.7,1991
ago,50.7,1992
ago,49.6,1993
ago,50.5,1994
ago,50.9,1995
ago,51,1996
ago,51.2,1997
ago,51.6,1998
ago,51.9,1999
ago,52.6,2000
ago,53,2001
ago,53.8,2002
ago,54.5,2003
ago,55.2,2004
ago,56,2005
ago,56.9,2006
ago,57.6,2007
ago,58.3,2008
ago,58.9,2009
ago,59.4,2010
ago,59.7,2011
ago,60.1,2012
ago,60.4,2013
ago,60.7,2014
ago,61,2015
atg,33.54,1800
atg,33.54,1801
atg,33.54,1802
atg,33.54,1803
atg,33.54,1804
atg,33.54,1805
atg,33.54,1806
atg,33.54,1807
atg,33.54,1808
atg,33.54,1809
atg,33.54,1810
atg,33.54,1811
atg,33.54,1812
atg,33.54,1813
atg,33.54,1814
atg,33.54,1815
atg,33.54,1816
atg,33.54,1817
atg,33.54,1818
atg,33.54,1819
atg,33.54,1820
atg,33.54,1821
atg,33.54,1822
atg,33.54,1823
atg,33.54,1824
atg,33.54,1825
atg,33.54,1826
atg,33.54,1827
atg,33.54,1828
atg,33.54,1829
atg,33.54,1830
atg,33.54,1831
atg,33.54,1832
atg,33.54,1833
atg,33.54,1834
atg,33.54,1835
atg,33.54,1836
atg,33.54,1837
atg,33.54,1838
atg,33.54,1839
atg,33.54,1840
atg,33.54,1841
atg,33.54,1842
atg,33.54,1843
atg,33.54,1844
atg,33.54,1845
atg,33.54,1846
atg,33.54,1847
atg,33.54,1848
atg,33.54,1849
atg,33.54,1850
atg,33.54,1851
atg,33.54,1852
atg,33.54,1853
atg,33.54,1854
atg,33.54,1855
